,206528_at,217287_s_at,206880_at,211147_s_at,203710_at,211323_s_at,216944_s_at,210401_at,207091_at,204088_at,210448_s_at,215464_s_at,202764_at,221356_x_at,221372_s_at,208589_at,201187_s_at,201188_s_at,201189_s_at,208338_at,206425_s_at,210814_at,217529_at,218811_at,218812_s_at,202660_at,202661_at,202662_s_at,211360_s_at
206528_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217287_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206880_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211147_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203710_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
211323_s_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
216944_s_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
210401_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207091_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204088_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210448_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215464_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202764_at,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,
221356_x_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221372_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208589_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201187_s_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
201188_s_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
201189_s_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
208338_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206425_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210814_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217529_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218811_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218812_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202660_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
202661_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
202662_s_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
211360_s_at,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
