,214584_x_at,221928_at,43427_at,49452_at,212218_s_at,217006_x_at,207858_s_at,210451_at,222078_at,215535_s_at,32836_at,212186_at,214358_at,221163_s_at,201127_s_at,201128_s_at,210337_s_at,210752_s_at,213708_s_at,217909_s_at,217910_x_at
214584_x_at,,,,,,,,,,,,,,,,,,,,,
221928_at,,,,,,,,,,,,,,,,,,,,,
43427_at,,,,,,,,,,,,,,,,,,,,,
49452_at,,,,,,,,,,,,,,,,,,,,,
212218_s_at,,,,,,,,,,,,,,,,,,,,,
217006_x_at,,,,,,,,,,,,,,,,,,,,,
207858_s_at,,,,,,,,,,,,,,,,,,,,,
210451_at,,,,,,,,,,,,,,,,,,,,,
222078_at,,,,,,,,,,,,,,,,,,,,,
215535_s_at,,,,,,,,,,,,,,,,,,,,,
32836_at,,,,,,,,,,,,,,,,,,,,,
212186_at,,,,,,,,,,,,,,,,,,,,,
214358_at,,,,,,,,,,,,,,,,,,,,,
221163_s_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0
201127_s_at,,,,,,,,,,,,,,,,,,,,,
201128_s_at,,,,,,,,,,,,,,,,,,,,,
210337_s_at,,,,,,,,,,,,,,,,,,,,,
210752_s_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,
213708_s_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,
217909_s_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,
217910_x_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,
