,203547_at,216424_at,209201_x_at,211919_s_at,217028_at,206991_s_at,201293_x_at,211378_x_at,211765_x_at,211978_x_at,212661_x_at,217602_at
203547_at,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
216424_at,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
209201_x_at,,,,,,,,,,,,
211919_s_at,,,,,,,,,,,,
217028_at,,,,,,,,,,,,
206991_s_at,,,,,,,,,,,,
201293_x_at,,,2.0,2.0,2.0,2.0,,,,,,
211378_x_at,,,2.0,2.0,2.0,2.0,,,,,,
211765_x_at,,,2.0,2.0,2.0,2.0,,,,,,
211978_x_at,,,2.0,2.0,2.0,2.0,,,,,,
212661_x_at,,,2.0,2.0,2.0,2.0,,,,,,
217602_at,,,2.0,2.0,2.0,2.0,,,,,,
