,209414_at,209415_at,209416_s_at,211865_s_at,202870_s_at,203213_at,203214_x_at,210559_s_at,202240_at,214710_s_at,218875_s_at
209414_at,,,,,2.0,,,,2.0,,2.0
209415_at,,,,,2.0,,,,2.0,,2.0
209416_s_at,,,,,2.0,,,,2.0,,2.0
211865_s_at,,,,,2.0,,,,2.0,,2.0
202870_s_at,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0
203213_at,1.0,1.0,1.0,1.0,2.0,,,,2.0,,1.0
203214_x_at,1.0,1.0,1.0,1.0,2.0,,,,2.0,,1.0
210559_s_at,1.0,1.0,1.0,1.0,2.0,,,,2.0,,1.0
202240_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
214710_s_at,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0
218875_s_at,1.0,1.0,1.0,1.0,1.0,,,,,,
