,203446_s_at,208316_s_at,205376_at,204837_at,213278_at,203011_at,222240_s_at,203006_at,202794_at,215793_at,217292_at,207594_s_at,212990_at,213651_at,213643_s_at,213804_at,203126_at,204552_at,204553_x_at,208363_s_at,208364_at
203446_s_at,,,,,,,,,,,,,,,,,,,,,
208316_s_at,,,,,,,,,,,,,,,,,,,,,
205376_at,,,,,,,,,,,,,,,,,,,,,
204837_at,,,,,,,,,,,,,,,,,,,,,
213278_at,,,,,,,,,,,,,,,,,,,,,
203011_at,,,,,,,,,,,,,,,,,,,,,
222240_s_at,,,,,,,,,,,,,,,,,,,,,
203006_at,,,,,,,,,,,,,,,,,,,,,
202794_at,,,,,,,,,,,,,,,,,,,,,
215793_at,,,,2.0,2.0,,,,,,,,,,,,,,,,
217292_at,,,,2.0,2.0,,,,,,,,,,,,,,,,
207594_s_at,,,,,,,,,,,,,,,,,,,,,
212990_at,,,,,,,,,,,,,,,,,,,,,
213651_at,,,,,,,,,,,,,,,,,,,,,
213643_s_at,,,,,,,,,,,,,,,,,,,,,
213804_at,,,,,,,,,,,,,,,,,,,,,
203126_at,,,,,,,,,,,,,,,,,,,,,
204552_at,,,,,,,,,,,,,,,,,,,,,
204553_x_at,,,,,,,,,,,,,,,,,,,,,
208363_s_at,,,,,,,,,,,,,,,,,,,,,
208364_at,,,,,,,,,,,,,,,,,,,,,
