,205839_s_at,202991_at,206294_at,214622_at,203646_at,203647_s_at,214610_at,202096_s_at,203475_at,205502_at,219113_x_at,204637_at,217869_at,218800_at,214471_x_at,204675_at,210959_s_at,211056_s_at,204515_at,201272_at,206938_at,214630_at,204818_at,204309_at,205829_at,205720_at,204548_at,205404_at,206985_at,206325_at,217989_at,204130_at,207813_s_at
205839_s_at,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
202991_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206294_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214622_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203646_at,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
203647_s_at,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
214610_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202096_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203475_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205502_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219113_x_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204637_at,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
217869_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218800_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214471_x_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204675_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210959_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211056_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204515_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201272_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206938_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214630_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204818_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204309_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205829_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205720_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204548_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205404_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206985_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206325_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217989_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204130_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207813_s_at,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
