,221700_s_at,209544_at,209545_s_at,205558_at,205858_at,200633_at,209124_at,201471_s_at,213112_s_at,209341_s_at,209342_s_at,211027_s_at,201587_s_at,209677_at,209678_s_at,213518_at,208980_s_at,211296_x_at,200017_at,206814_at
221700_s_at,,,,1.0,1.0,2.0,,2.0,2.0,,,,1.0,,,,2.0,2.0,,1.0
209544_at,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,2.0
209545_s_at,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,2.0
205558_at,1.0,1.0,1.0,,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0
205858_at,,,,,,,,2.0,2.0,,,,,,,,,,,
200633_at,,,,1.0,1.0,,,2.0,2.0,,,,1.0,,,,2.0,2.0,,1.0
209124_at,,,,2.0,2.0,,,,,,,,,,,,,,,2.0
201471_s_at,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,
213112_s_at,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,
209341_s_at,,,,2.0,2.0,,,2.0,2.0,,,,,,,,,,,2.0
209342_s_at,,,,2.0,2.0,,,2.0,2.0,,,,,,,,,,,2.0
211027_s_at,,,,2.0,2.0,,,2.0,2.0,,,,,,,,,,,2.0
201587_s_at,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,,,2.0
209677_at,,,,,2.0,,,2.0,2.0,,,,,,,,,,,
209678_s_at,,,,,2.0,,,2.0,2.0,,,,,,,,,,,
213518_at,,,,,2.0,,,2.0,2.0,,,,,,,,,,,
208980_s_at,,,,1.0,1.0,,,2.0,2.0,,,,1.0,,,,,,,1.0
211296_x_at,,,,1.0,1.0,,,2.0,2.0,,,,1.0,,,,,,,1.0
200017_at,2.0,,,1.0,1.0,2.0,,2.0,2.0,,,,1.0,,,,2.0,2.0,,1.0
206814_at,,,,,2.0,,,2.0,2.0,,,,,2.0,2.0,2.0,,,,
