,221700_s_at,205558_at,201783_s_at,209878_s_at,205858_at,200633_at,201471_s_at,213112_s_at,201502_s_at,209341_s_at,209342_s_at,211027_s_at,201587_s_at,209239_at,208980_s_at,211296_x_at,200017_at,206814_at
221700_s_at,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,1.0,1.0,2.0,2.0,,1.0
205558_at,1.0,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0
201783_s_at,2.0,2.0,,,2.0,2.0,,,2.0,1.0,1.0,1.0,,,2.0,2.0,2.0,
209878_s_at,2.0,2.0,,,2.0,2.0,,,2.0,1.0,1.0,1.0,,,2.0,2.0,2.0,
205858_at,,,1.0,1.0,,,2.0,2.0,1.0,,,,,1.0,,,,
200633_at,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,,,1.0,1.0,2.0,2.0,,1.0
201471_s_at,1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,
213112_s_at,1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,
201502_s_at,2.0,,1.0,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,
209341_s_at,,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,,,1.0,,,,2.0
209342_s_at,,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,,,1.0,,,,2.0
211027_s_at,,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,,,1.0,,,,2.0
201587_s_at,,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,,1.0,,,,2.0
209239_at,1.0,2.0,2.0,2.0,2.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,
208980_s_at,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,,,1.0,1.0,,,,1.0
211296_x_at,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,,,1.0,1.0,,,,1.0
200017_at,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,1.0,1.0,2.0,2.0,,1.0
206814_at,,,1.0,1.0,2.0,,2.0,2.0,1.0,,,,,1.0,,,,
