,207386_at,220432_s_at,214622_at,203475_at,204041_at,201425_at,205676_at,214630_at,209612_s_at,209613_s_at,209614_at,203814_s_at,204309_at,219825_at,201633_s_at,201634_s_at,205939_at,206153_at,206340_at,207498_s_at,215809_at,217468_at,207913_at,212224_at,207608_x_at,207609_s_at,204894_s_at,205073_at,1494_f_at,207244_x_at,211295_x_at,214320_x_at,205765_at,214234_s_at,214235_at,205749_at,202434_s_at,202435_s_at,202436_s_at,202437_s_at,210096_at,205623_at,207407_x_at,211231_x_at,217319_x_at,208928_at,220562_at,205998_x_at,205999_x_at,208367_x_at,210726_at,210452_x_at,208131_s_at,210702_s_at,211892_s_at,206504_at,209645_s_at,209646_x_at,207718_x_at,210505_at,208147_s_at,219903_s_at,202986_at,205379_at,220331_at,207544_s_at,214261_s_at,208130_s_at,209667_at,209668_x_at,213509_x_at,1431_at,209975_at,209976_s_at,210357_s_at,217074_at,200627_at,209105_at,209106_at,209107_x_at,210249_s_at,216720_at,218865_at,205731_s_at,205732_s_at,212867_at,215605_at,203559_s_at,205750_at,220335_x_at,207820_at,208847_s_at,208848_at,206424_at,203979_at,204388_s_at,204389_at,212741_at,206496_at,40665_at,201781_s_at,201782_s_at,216058_s_at,207786_at,208126_s_at,215103_at,201885_s_at,205127_at,205128_x_at,215813_s_at,207773_x_at,211440_x_at,211441_x_at,211442_x_at,206539_s_at,202820_at,209616_s_at,203646_at,203647_s_at,210828_s_at,218221_at,218222_x_at,214610_at,206754_s_at,206755_at,217133_x_at,202017_at,200064_at,214359_s_at,205666_at,219527_at,221636_s_at,221941_at,50400_at,210576_at,206262_at,208327_at,206514_s_at,206515_at,211726_s_at,211843_x_at,202426_s_at,202449_s_at,207064_s_at,202314_at,216607_s_at,205969_at,214419_s_at,214420_s_at,214421_x_at,216025_x_at,216661_x_at,217558_at,220017_x_at,205720_at,207406_at,207813_s_at
207386_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220432_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214622_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203475_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204041_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201425_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205676_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214630_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209612_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
209613_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
209614_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
203814_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
