,206598_at,220012_at,214156_at,219349_s_at,209514_s_at,209515_s_at,210951_x_at,222294_s_at,201991_s_at,201992_s_at,212630_at,218748_s_at,201116_s_at,201117_s_at,203129_s_at,203130_s_at,212026_s_at,212034_s_at,212035_s_at,214802_at,215413_at,204869_at,204870_s_at,218498_s_at,222127_s_at,205318_at,218989_x_at,220181_x_at,204729_s_at,201556_s_at,201557_at,214792_x_at,205825_at,204527_at,217417_at
206598_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,
220012_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214156_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219349_s_at,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,
209514_s_at,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209515_s_at,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210951_x_at,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222294_s_at,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201991_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201992_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212630_at,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
218748_s_at,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,
201116_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203129_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203130_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212026_s_at,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,
212034_s_at,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,
212035_s_at,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,
214802_at,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,
215413_at,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,
204869_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204870_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218498_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205318_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218989_x_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220181_x_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204729_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
201556_s_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
201557_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
214792_x_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
205825_at,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204527_at,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,
217417_at,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,
