,205745_x_at,205746_s_at,213532_at,218902_at,209097_s_at,209098_s_at,209099_x_at,216268_s_at,202603_at,202604_x_at,214895_s_at,209784_s_at,32137_at
205745_x_at,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0
205746_s_at,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0
213532_at,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0
218902_at,,,,,,,,,,,,,
209097_s_at,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,
209098_s_at,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,
209099_x_at,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,
216268_s_at,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,
202603_at,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0
202604_x_at,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0
214895_s_at,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0
209784_s_at,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,
32137_at,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,
