,205344_at,39966_at,219107_at,221623_at,91920_at,201261_x_at,201262_s_at,213905_x_at,204736_s_at,214297_at,203044_at,204619_s_at,204620_s_at,211571_s_at,215646_s_at,221731_x_at,205143_at,201893_x_at,209335_at,211813_x_at,211896_s_at
205344_at,,,,,,,,,,,1.0,,,,,,,,,,
39966_at,,,,,,,,,,,1.0,,,,,,,,,,
219107_at,,,,,,,,,,,1.0,,,,,,,,,,
221623_at,,,,,,,,,,,1.0,,,,,,,,,,
91920_at,,,,,,,,,,,1.0,,,,,,,,,,
201261_x_at,,,,,,,,,,,1.0,,,,,,,,,,
201262_s_at,,,,,,,,,,,1.0,,,,,,,,,,
213905_x_at,,,,,,,,,,,1.0,,,,,,,,,,
204736_s_at,,,,,,,,,,,1.0,,,,,,,,,,
214297_at,,,,,,,,,,,1.0,,,,,,,,,,
203044_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204619_s_at,,,,,,,,,,,1.0,,,,,,,,,,
204620_s_at,,,,,,,,,,,1.0,,,,,,,,,,
211571_s_at,,,,,,,,,,,1.0,,,,,,,,,,
215646_s_at,,,,,,,,,,,1.0,,,,,,,,,,
221731_x_at,,,,,,,,,,,1.0,,,,,,,,,,
205143_at,,,,,,,,,,,1.0,,,,,,,,,,
201893_x_at,,,,,,,,,,,1.0,,,,,,,,,,
209335_at,,,,,,,,,,,1.0,,,,,,,,,,
211813_x_at,,,,,,,,,,,1.0,,,,,,,,,,
211896_s_at,,,,,,,,,,,1.0,,,,,,,,,,
