,206219_s_at,207176_s_at,208640_at,208641_s_at,206545_at,211856_x_at,211861_x_at,215075_s_at,214607_at,204890_s_at,204891_s_at,209615_s_at,205685_at,205686_s_at,210895_s_at,210105_s_at,212486_s_at,216033_s_at,208727_s_at,208728_s_at,210232_at,214230_at,205962_at,208875_s_at,208876_s_at,208877_at,208878_s_at
206219_s_at,,,1.0,1.0,,,,,2.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
207176_s_at,2.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
208640_at,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
208641_s_at,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
206545_at,2.0,2.0,1.0,1.0,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,
211856_x_at,2.0,2.0,1.0,1.0,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,
211861_x_at,2.0,2.0,1.0,1.0,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,
215075_s_at,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
214607_at,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
204890_s_at,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,
204891_s_at,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,
209615_s_at,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
205685_at,2.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
205686_s_at,2.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
210895_s_at,2.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
210105_s_at,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
212486_s_at,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
216033_s_at,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
208727_s_at,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
208728_s_at,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
210232_at,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
214230_at,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
205962_at,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,
208875_s_at,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,
208876_s_at,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,
208877_at,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,
208878_s_at,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,
