,212759_s_at,212761_at,212762_s_at,216035_x_at,216037_x_at,216511_s_at,204197_s_at,204198_s_at,221016_s_at,202431_s_at,201533_at,205254_x_at,205255_x_at,210948_s_at,221557_s_at,221558_s_at
212759_s_at,,,,,,,,,,1.0,1.0,,,,,
212761_at,,,,,,,,,,1.0,1.0,,,,,
212762_s_at,,,,,,,,,,1.0,1.0,,,,,
216035_x_at,,,,,,,,,,1.0,1.0,,,,,
216037_x_at,,,,,,,,,,1.0,1.0,,,,,
216511_s_at,,,,,,,,,,1.0,1.0,,,,,
204197_s_at,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
204198_s_at,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
221016_s_at,,,,,,,,,,1.0,1.0,,,,,
202431_s_at,,,,,,,,,,,,,,,,
201533_at,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,1.0,,2.0,2.0,2.0,2.0,2.0
205254_x_at,,,,,,,,,,,,,,,,
205255_x_at,,,,,,,,,,,,,,,,
210948_s_at,,,,,,,,,,1.0,1.0,,,,,
221557_s_at,,,,,,,,,,1.0,1.0,,,,,
221558_s_at,,,,,,,,,,1.0,1.0,,,,,
