,205389_s_at,205390_s_at,205391_x_at,207087_x_at,208352_x_at,208353_x_at,207195_at,204591_at,214660_at,205032_at,206766_at,211945_s_at,215878_at,215879_at,216178_x_at,216190_x_at,208687_x_at,210338_s_at,221891_x_at,210510_s_at,210615_at,212298_at
205389_s_at,,,,,,,,,,,,,,,,,,,,,,
205390_s_at,,,,,,,,,,,,,,,,,,,,,,
205391_x_at,,,,,,,,,,,,,,,,,,,,,,
207087_x_at,,,,,,,,,,,,,,,,,,,,,,
208352_x_at,,,,,,,,,,,,,,,,,,,,,,
208353_x_at,,,,,,,,,,,,,,,,,,,,,,
207195_at,,,,,,,,,,,,,,,,,,,,,,
204591_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
214660_at,,,,,,,,,,,,,,,,,,,,,,
205032_at,,,,,,,,,,,,,,,,,,,,,,
206766_at,,,,,,,,,,,,,,,,,,,,,,
211945_s_at,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,
215878_at,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,
215879_at,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,
216178_x_at,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,
216190_x_at,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,
208687_x_at,,,,,,,,,,,,,,,,,,,,,,
210338_s_at,,,,,,,,,,,,,,,,,,,,,,
221891_x_at,,,,,,,,,,,,,,,,,,,,,,
210510_s_at,,,,,,,,,,,,,,,,,,,,,,
210615_at,,,,,,,,,,,,,,,,,,,,,,
212298_at,,,,,,,,,,,,,,,,,,,,,,
