,205389_s_at,205390_s_at,205391_x_at,207087_x_at,208352_x_at,208353_x_at,204105_s_at,216959_x_at,213438_at,214799_at,219400_at,204850_s_at,204851_s_at,211203_s_at,200958_s_at
205389_s_at,,,,,,,,,,,,,,,
205390_s_at,,,,,,,,,,,,,,,
205391_x_at,,,,,,,,,,,,,,,
207087_x_at,,,,,,,,,,,,,,,
208352_x_at,,,,,,,,,,,,,,,
208353_x_at,,,,,,,,,,,,,,,
204105_s_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
216959_x_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
213438_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
214799_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
219400_at,,,,,,,,,,,,,,2.0,
204850_s_at,,,,,,,,,,,,,,,
204851_s_at,,,,,,,,,,,,,,,
211203_s_at,,,,,,,,,,,,,,,
200958_s_at,,,,,,,,,,,,,,,
