,208449_s_at,208351_s_at,212271_at,205867_at,205868_s_at,209895_at,209896_s_at,212610_at,203638_s_at,203639_s_at,208225_at,208228_s_at,208229_at,208234_x_at,211398_at,211399_at,211400_at,211401_s_at,209467_s_at,205117_at,208240_s_at,208652_at,221315_s_at,206986_at,206987_x_at,211029_x_at,211485_s_at,214284_s_at,204421_s_at,204422_s_at,208417_at,221308_at,206607_at,220394_at,200017_at,212046_x_at,206783_at,221700_s_at,204011_at,213324_at,221281_at,221284_s_at,200633_at,208980_s_at,211296_x_at,206404_at,221374_at,221376_at,201374_x_at,201375_s_at,208378_x_at,210310_s_at,210311_at,215075_s_at,206044_s_at,221166_at,214571_at,205782_at,200695_at
208449_s_at,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,
208351_s_at,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,
212271_at,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,
205867_at,2.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0
205868_s_at,2.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0
209895_at,2.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0
209896_s_at,2.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0
212610_at,2.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0
203638_s_at,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,,2.0,,,,,2.0,2.0,2.0,,2.0,,,,,,,,,,2.0,2.0,
203639_s_at,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,,2.0,,,,,2.0,2.0,2.0,,2.0,,,,,,,,,,2.0,2.0,
