,210414_at,208449_s_at,205978_at,208351_s_at,212271_at,207112_s_at,214987_at,205867_at,205868_s_at,209895_at,209896_s_at,212610_at,209467_s_at,205206_at,205117_at,208240_s_at,212983_at,202789_at,216551_x_at,208652_at,204009_s_at,204010_s_at,214352_s_at,221315_s_at,206986_at,206987_x_at,211029_x_at,211485_s_at,214284_s_at,204421_s_at,204422_s_at,208417_at,221308_at,206607_at,212777_at,212780_at,220394_at,207822_at,207937_x_at,210973_s_at,211535_s_at,215404_x_at,222164_at,200017_at,212046_x_at,219907_at,206783_at,221700_s_at,204011_at,213324_at,221281_at,221284_s_at,200633_at,201469_s_at,214853_s_at,212458_at,212466_at,214026_s_at,208980_s_at,211296_x_at,206404_at,219250_s_at,204358_s_at,204359_at,221376_at,202647_s_at,201374_x_at,201375_s_at,208378_x_at,210310_s_at,210311_at,215075_s_at,206044_s_at,221166_at,214571_at,204369_at,212239_at,212240_s_at,212249_at,200695_at
210414_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208449_s_at,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,
205978_at,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,
208351_s_at,,1.0,1.0,,,,,,,,,,,,1.0,1.0,2.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,
212271_at,,1.0,1.0,,,,,,,,,,,,1.0,1.0,2.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,
207112_s_at,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,
214987_at,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,
205867_at,,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0
205868_s_at,,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0
209895_at,,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0
209896_s_at,,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0
212610_at,,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0
209467_s_at,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0
205206_at,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,
205117_at,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,
208240_s_at,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,
212983_at,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,
202789_at,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,2.0,2.0,,,,,
216551_x_at,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,2.0,2.0,,,,,
208652_at,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,2.0,2.0,,,,,,1.0,2.0,2.0,,,,2.0,1.0,,,,,,,
204009_s_at,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,
204010_s_at,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,
214352_s_at,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,
221315_s_at,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,1.0,,,,,
206986_at,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,
206987_x_at,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,
211029_x_at,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,
211485_s_at,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,
214284_s_at,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,
204421_s_at,2.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,1.0,,,,,
204422_s_at,2.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,1.0,,,,,
208417_at,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,
221308_at,,,2.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,2.0,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,2.0,,,,,
206607_at,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,,,2.0,,,,,,2.0,2.0,2.0,,,,2.0,,,,2.0,2.0,2.0,,,2.0,2.0,,,,,
212777_at,,2.0,2.0,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,,,,2.0,2.0,,,,,,2.0,,,,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,
212780_at,,2.0,2.0,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,,,,2.0,2.0,,,,,,2.0,,,,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,
220394_at,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,
207822_at,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,2.0,,2.0,2.0,2.0,,,,,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,,,,,
207937_x_at,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,2.0,,2.0,2.0,2.0,,,,,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,,,,,
210973_s_at,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,2.0,,2.0,2.0,2.0,,,,,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,,,,,
211535_s_at,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,2.0,,2.0,2.0,2.0,,,,,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,,,,,
215404_x_at,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,2.0,,2.0,2.0,2.0,,,,,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,,,,,
222164_at,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,2.0,,2.0,2.0,2.0,,,,,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,,,,,
200017_at,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,2.0,,,,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0
212046_x_at,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
219907_at,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
206783_at,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,
221700_s_at,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,,,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0
204011_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
213324_at,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,2.0,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,2.0,1.0,1.0,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,1.0
221281_at,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,2.0,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,2.0,1.0,1.0,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,1.0
221284_s_at,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,2.0,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,2.0,1.0,1.0,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,1.0
200633_at,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,
201469_s_at,,2.0,2.0,,,2.0,2.0,,,,,,,,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,
214853_s_at,,2.0,2.0,,,2.0,2.0,,,,,,,,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,2.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,
212458_at,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
212466_at,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
214026_s_at,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
208980_s_at,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,
