,207339_s_at,202076_at,207892_at,203005_at,207907_at,210538_s_at,205153_s_at,215346_at,222292_at,35150_at,206975_at,205611_at,208315_x_at,221571_at,205192_at,204413_at,210643_at,211153_s_at,207037_at,218368_s_at
207339_s_at,,2.0,,2.0,,2.0,,,,,2.0,,2.0,2.0,1.0,2.0,,,,
202076_at,,,,,,,,,,,,,,,,,,,,
207892_at,,2.0,,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
203005_at,,2.0,,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
207907_at,,2.0,,2.0,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
210538_s_at,,,,,,,,,,,,,,,,,,,,
205153_s_at,,2.0,2.0,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
215346_at,,2.0,2.0,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
222292_at,,2.0,2.0,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
35150_at,,2.0,2.0,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
206975_at,,2.0,,2.0,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
205611_at,,2.0,,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,2.0
208315_x_at,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
221571_at,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
205192_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
204413_at,,2.0,,,,2.0,,,,,,,2.0,2.0,,,,,,
210643_at,,2.0,,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
211153_s_at,,2.0,,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
207037_at,,2.0,,,,2.0,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,,
218368_s_at,,2.0,,,,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,
