,204146_at,204603_at,205395_s_at,211334_at,219530_at,205733_at,218979_at,209965_s_at,37793_r_at,208442_s_at,210858_x_at,212672_at,205023_at,205024_s_at,203344_s_at,208393_s_at,209349_at,202905_x_at,202906_s_at,202907_s_at,217299_s_at,205667_at,206689_x_at,209192_x_at,214258_x_at,212523_s_at,213003_s_at,206066_s_at,209849_s_at,218317_x_at,205345_at,213647_at,204946_s_at,214299_at,214300_s_at,207598_x_at,204531_s_at,211851_x_at,210255_at,216880_at,208368_s_at,214727_at,218463_s_at,221703_at,216299_s_at
204146_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
204603_at,2.0,,,,2.0,,,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,2.0,2.0,,2.0,,,,,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
205395_s_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
211334_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
219530_at,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
205733_at,2.0,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0
218979_at,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0
209965_s_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
37793_r_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
208442_s_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
210858_x_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
212672_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
205023_at,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,2.0,2.0,2.0,2.0,,,2.0
205024_s_at,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,2.0,2.0,2.0,2.0,,,2.0
203344_s_at,2.0,,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
208393_s_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
209349_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
202905_x_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
202906_s_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
202907_s_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
217299_s_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
205667_at,2.0,,,,2.0,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
206689_x_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
209192_x_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
214258_x_at,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
212523_s_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
213003_s_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
206066_s_at,2.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,2.0
209849_s_at,2.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,2.0
218317_x_at,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
205345_at,2.0,,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0
213647_at,2.0,,,,2.0,,,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,2.0,2.0,,2.0,,,,,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0
204946_s_at,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0
