,204252_at,211803_at,211804_s_at,205899_at,201746_at,211300_s_at,2028_s_at,204947_at,205865_at,213523_at,209112_at,219990_at,209361_s_at,203418_at,213226_at,205034_at,211814_s_at,202284_s_at
204252_at,,,,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
211803_at,,,,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
211804_s_at,,,,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
205899_at,,,,,1.0,1.0,2.0,2.0,,,2.0,,,,,,,2.0
201746_at,,,,,,,,,1.0,,,,1.0,,,,,1.0
211300_s_at,,,,,,,,,1.0,,,,1.0,,,,,1.0
2028_s_at,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0
204947_at,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0
205865_at,,,,,,,,,,,,,,,,,,
213523_at,,,,,,,1.0,1.0,,,,,,,,,,
209112_at,1.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,,1.0,1.0,2.0,2.0,
219990_at,,,,,,,1.0,1.0,,,,,,,,,,
209361_s_at,,,,,,,,,,,,,,,,,,1.0
203418_at,,,,,1.0,1.0,2.0,2.0,,,2.0,,,,,,,2.0
213226_at,,,,,1.0,1.0,2.0,2.0,,,2.0,,,,,,,2.0
205034_at,,,,,,,1.0,1.0,,,,,,,,,,
211814_s_at,,,,,,,1.0,1.0,,,,,,,,,,
202284_s_at,1.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,,1.0,1.0,2.0,2.0,
