,208351_s_at,212271_at,206598_at,204686_at,209409_at,209410_s_at,210999_s_at,215248_at,215075_s_at,201469_s_at,214853_s_at,207851_s_at,213792_s_at,212777_at,212780_at,209184_s_at,209185_s_at,212046_x_at
208351_s_at,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,
212271_at,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,
206598_at,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,
204686_at,,,1.0,,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,,,
209409_at,,,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,,,1.0,1.0,
209410_s_at,,,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,,,1.0,1.0,
210999_s_at,,,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,,,1.0,1.0,
215248_at,,,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,,,1.0,1.0,
215075_s_at,,,,2.0,,,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,
201469_s_at,,,1.0,,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,2.0,2.0,
214853_s_at,,,1.0,,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,2.0,2.0,
207851_s_at,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,
213792_s_at,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,
212777_at,,,,2.0,,,,,,2.0,2.0,,,,,2.0,2.0,
212780_at,,,,2.0,,,,,,2.0,2.0,,,,,2.0,2.0,
209184_s_at,,,1.0,,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,,,
209185_s_at,,,1.0,,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,,,
212046_x_at,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,
