,212955_s_at,202683_s_at,202684_s_at,209595_at,203565_s_at,201480_s_at,213357_at,204207_s_at,204208_at,211387_x_at,211849_s_at,202306_at,221540_x_at,213468_at,212782_x_at,214740_at,216242_x_at,204093_at,209302_at,202451_at,202453_s_at,202354_s_at,202355_s_at,202356_s_at,209511_at,203664_s_at,214144_at,211297_s_at,208996_s_at,214263_x_at,216282_x_at,202725_at,217415_at,217420_s_at,202586_at,211730_s_at,213887_s_at,217854_s_at,201803_at,222104_x_at,202176_at,202634_at,202635_s_at,203577_at
212955_s_at,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
202683_s_at,,,,,2.0,,2.0,,,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,,,,,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
202684_s_at,,,,,2.0,,2.0,,,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,,,,,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
209595_at,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
203565_s_at,1.0,,,1.0,,,2.0,,,,,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0
201480_s_at,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
213357_at,1.0,,,1.0,,,,,,,,1.0,2.0,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0
204207_s_at,,2.0,2.0,,2.0,,2.0,,,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,,,,,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
204208_at,,2.0,2.0,,2.0,,2.0,,,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,,,,,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
211387_x_at,,2.0,2.0,,2.0,,2.0,,,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,,,,,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
211849_s_at,,2.0,2.0,,2.0,,2.0,,,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,,,,,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
202306_at,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
221540_x_at,1.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,
213468_at,1.0,,,1.0,2.0,,2.0,,,,,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0
212782_x_at,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
