,206068_s_at,206069_s_at,202366_at,201035_s_at,201036_s_at,211569_s_at,218664_at,202502_at,201007_at,205942_s_at,210377_at,200710_at,201135_at,208629_s_at,208630_at,208631_s_at
206068_s_at,,,,,,,,,,,,,,,,
206069_s_at,,,,,,,,,,,,,,,,
202366_at,,,,,,,,,,,,,,,,
201035_s_at,,,,,,,,,,,,,,,,
201036_s_at,,,,,,,,,,,,,,,,
211569_s_at,,,,,,,,,,,,,,,,
218664_at,,,,,,,,,,,,,,,,
202502_at,,,,,,,,,,,,,,,,
201007_at,,,,,,,,,,,,,,2.0,2.0,2.0
205942_s_at,,,,,,,,,,,,,,,,
210377_at,,,,,,,,,,,,,,,,
200710_at,,,,,,,,,,,,,,,,
201135_at,,,,,,,,,,,,,,,,
208629_s_at,,,,,,,,,,,,,,,,
208630_at,,,,,,,,,,,,,,,,
208631_s_at,,,,,,,,,,,,,,,,
