,206068_s_at,206069_s_at,212694_s_at,201035_s_at,201036_s_at,211569_s_at,218664_at,202428_x_at,209389_x_at,211070_x_at,201135_at,219986_s_at,202959_at,202960_s_at,208629_s_at,208630_at,208631_s_at,202366_at,202982_s_at,221641_s_at,204565_at,205942_s_at,210377_at,208002_s_at,215728_s_at,200710_at,202447_at,202002_at,202003_s_at,201007_at,209759_s_at,218676_s_at,203860_at,216533_at,202077_at,202502_at,213132_s_at,214763_at,216103_at,218844_at
206068_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206069_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212694_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201035_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201036_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211569_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218664_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202428_x_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209389_x_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211070_x_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201135_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219986_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202959_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202960_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208629_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208630_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208631_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202366_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202982_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221641_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204565_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205942_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210377_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208002_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215728_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200710_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202447_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202002_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202003_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201007_at,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
209759_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218676_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203860_at,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216533_at,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202077_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202502_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213132_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
214763_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216103_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218844_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
