,207809_s_at,200954_at,36994_at,212041_at,200078_s_at,206598_at,205473_at,208678_at,201971_s_at,201972_at,205095_s_at,212383_at,213587_s_at,204158_s_at,208898_at,208899_x_at,214923_at,200096_s_at,201171_at,201172_x_at,214149_s_at,214150_x_at,214244_s_at,201527_at,201089_at,208737_at,221504_s_at,205704_s_at,217603_at,207851_s_at,213792_s_at,214762_at,202872_at,202873_at,202874_s_at,220197_at
207809_s_at,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
200954_at,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
36994_at,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
212041_at,,,,,2.0,,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,
200078_s_at,,,,,,,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,
206598_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,
205473_at,,,,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,,,2.0,,,2.0,,,,,,2.0,2.0,2.0,
208678_at,,,,,,,,,2.0,2.0,,,,,2.0,2.0,2.0,,,,,,,2.0,,,2.0,,,,,,,,,
201971_s_at,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,2.0,,,,,,,,,
201972_at,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,2.0,,,,,,,,,
205095_s_at,,,,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
212383_at,,,,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
213587_s_at,,,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,
204158_s_at,,,,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,
208898_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208899_x_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214923_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200096_s_at,,,,,,,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,
201171_at,,,,,,,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,
201172_x_at,,,,,,,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,
