,202567_at,201517_at,201521_s_at,208821_at,213175_s_at,205644_s_at,209519_at,209520_s_at,203832_at,213124_at,213130_at,206052_s_at,203316_s_at,215450_at
202567_at,,,,,,,,,,,,2.0,2.0,2.0
201517_at,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0
201521_s_at,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0
208821_at,2.0,,,,,,,,,,,2.0,2.0,2.0
213175_s_at,2.0,,,,,,,,,,,2.0,2.0,2.0
205644_s_at,2.0,,,2.0,2.0,,,,2.0,,,2.0,2.0,2.0
209519_at,2.0,,,2.0,2.0,2.0,,,2.0,,,2.0,2.0,2.0
209520_s_at,2.0,,,2.0,2.0,2.0,,,2.0,,,2.0,2.0,2.0
203832_at,2.0,,,2.0,2.0,,,,,,,2.0,2.0,2.0
213124_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0
213130_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0
206052_s_at,,,,,,,,,,,,,,
203316_s_at,,,,,,,,,,,,2.0,,
215450_at,,,,,,,,,,,,2.0,,
