,219923_at,202621_at,217862_at,217863_at,217864_s_at,205867_at,205868_s_at,209895_at,209896_s_at,212610_at,219405_at,213932_x_at,215313_x_at,204935_at,213136_at,213137_s_at,218400_at,201137_s_at,221044_s_at,210514_x_at,211528_x_at,211529_x_at,211530_x_at,204057_at,201648_at,202727_s_at,211676_s_at,202702_at,202545_at,202716_at,217686_at,217689_at,213293_s_at,202341_s_at,202342_s_at,214248_s_at,214249_at,215945_s_at,204670_x_at,208306_x_at,209968_s_at,212843_at,214952_at,217359_s_at,208436_s_at,206278_at,211661_x_at,209728_at,215666_at,209956_s_at,210404_x_at,211483_x_at,213276_at,34846_at,203882_at,220788_s_at,211990_at,211991_s_at,213537_at,206359_at,206360_s_at,214105_at,216950_s_at,216951_at,202863_at,202864_s_at,210218_s_at,210219_at,210985_s_at,205468_s_at,205469_s_at,215536_at,200904_at,200905_x_at,217456_x_at,208729_x_at,209140_x_at,211911_x_at,221012_s_at,201891_s_at,216231_s_at,210354_at,203868_s_at,206503_x_at,209640_at,210362_x_at,211012_s_at,211013_x_at,211014_s_at,211588_s_at,211589_at,206687_s_at,203636_at,203637_s_at,210694_s_at,202869_at,205552_s_at,203275_at,204804_at,206911_at,219272_at,58308_at,204806_x_at,221875_x_at,221978_at,212669_at,212757_s_at,214322_at,210578_at,210579_s_at,221627_at,56748_at,210705_s_at,205660_at,210797_s_at,202504_at,211001_at,211002_s_at,209999_x_at,210000_s_at,210001_s_at,213337_s_at,204562_at,216986_s_at,216987_at,203290_at,212671_s_at,213831_at,208761_s_at,208762_at,211069_s_at,200887_s_at,209969_s_at,AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,220534_at,204910_s_at,204911_s_at,213884_s_at,213885_at,203567_s_at,203568_s_at,203610_s_at,208894_at,210982_s_at,205101_at,210925_at,211884_s_at,202748_at,212185_x_at,208170_s_at,210159_s_at,215444_s_at,204489_s_at,204490_s_at,209835_x_at,210916_s_at,212014_x_at,212063_at,216056_at,217523_at,203147_s_at,203148_s_at,210846_x_at,211044_at,202597_at,207613_s_at,213108_at,209312_x_at,209480_at,209823_x_at,210747_at,211654_x_at,211656_x_at,212998_x_at,212999_x_at,215193_x_at,221491_x_at,202531_at,204972_at,206553_at,208812_x_at,211799_x_at,214459_x_at,216526_x_at,201642_at,220279_at,202637_s_at,202638_s_at,215485_s_at,220909_at,205841_at,205842_s_at,202269_x_at,202270_at
219923_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202621_at,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217862_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217863_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217864_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205867_at,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,2.0,2.0,,
205868_s_at,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,2.0,2.0,,
209895_at,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,2.0,2.0,,
209896_s_at,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,2.0,2.0,,
212610_at,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,2.0,2.0,,
