,208490_x_at,208523_x_at,210387_at,214455_at,215779_s_at,208129_x_at,209359_x_at,209360_s_at,210365_at,210805_x_at,211179_at,211180_x_at,211181_x_at,211182_x_at,211620_x_at,217263_x_at,201058_s_at,205436_s_at,212524_x_at,212525_s_at,213344_s_at,219190_s_at,209352_s_at,39705_at,208583_x_at,215071_s_at,214463_x_at,209517_s_at,208496_x_at,208046_at,214469_at,201209_at,214616_at,214290_s_at,218280_x_at,208180_s_at,200080_s_at,208755_x_at,209069_s_at,211940_x_at,211997_x_at,211998_at,211999_at,213826_s_at,213828_x_at,202487_s_at,212205_at,212206_s_at,213202_at,203419_at,217069_at,217075_x_at,207611_at,202708_s_at,220936_s_at,200853_at,213911_s_at,214502_at,206110_at,208575_at,214646_at,205967_at,207046_at,208181_at,208580_x_at,214516_at,208546_x_at,208577_at,206951_at,211790_s_at,216845_x_at,206493_at,206494_s_at,216956_s_at,216966_at,208515_at,214540_at,210038_at,210039_s_at,210446_at,214509_at,206445_s_at,219426_at,206390_x_at,214472_at,214522_x_at,218287_s_at,209806_at,214412_at,203845_at,208506_at,208569_at,201107_s_at,201108_s_at,201109_s_at,201110_s_at,215775_at,202221_s_at,213579_s_at,208527_x_at,214562_at,213153_at,208547_at,202370_s_at,206788_s_at,208076_at,213254_at,209930_s_at,207226_at,207389_at,212076_at,212078_s_at,212079_s_at,212080_at,216624_s_at,220546_at,207978_s_at,209959_at,216979_at,205169_at,209911_x_at,222067_x_at,208576_s_at,208026_at
208490_x_at,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0
208523_x_at,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0
210387_at,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0
214455_at,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0
215779_s_at,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0
208129_x_at,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,2.0,2.0
209359_x_at,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,2.0,2.0
209360_s_at,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,2.0,2.0
210365_at,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,2.0,2.0
210805_x_at,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,2.0,2.0
