,204131_s_at,204132_s_at,210655_s_at,217399_s_at,205396_at,205397_x_at,205398_s_at,218284_at,208536_s_at,222343_at,204197_s_at,204198_s_at,202526_at,202527_s_at
204131_s_at,,,,,,,,,1.0,1.0,,,,
204132_s_at,,,,,,,,,1.0,1.0,,,,
210655_s_at,,,,,,,,,1.0,1.0,,,,
217399_s_at,,,,,,,,,1.0,1.0,,,,
205396_at,2.0,2.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0
205397_x_at,2.0,2.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0
205398_s_at,2.0,2.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0
218284_at,2.0,2.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0
208536_s_at,,,,,,,,,,,,,,
222343_at,,,,,,,,,,,,,,
204197_s_at,2.0,2.0,2.0,2.0,,,,,1.0,1.0,,,,
204198_s_at,2.0,2.0,2.0,2.0,,,,,1.0,1.0,,,,
202526_at,2.0,2.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,,
202527_s_at,2.0,2.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,,
