,202124_s_at,202125_s_at,201283_s_at,202079_s_at,202080_s_at,214924_s_at,201155_s_at,216205_s_at,221789_x_at,222131_x_at,65770_at,219320_at,207098_s_at,211801_x_at,217043_s_at,209444_at,217457_s_at
202124_s_at,,,,,,,,,2.0,2.0,2.0,,,,,,
202125_s_at,,,,,,,,,2.0,2.0,2.0,,,,,,
201283_s_at,,,,,,,,,2.0,2.0,2.0,,,,,,
202079_s_at,,,,,,,,,2.0,2.0,2.0,,,,,,
202080_s_at,,,,,,,,,2.0,2.0,2.0,,,,,,
214924_s_at,,,,,,,,,2.0,2.0,2.0,,,,,,
201155_s_at,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,
216205_s_at,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,
221789_x_at,,,,,,,,,,,,,,,,,
222131_x_at,,,,,,,,,,,,,,,,,
65770_at,,,,,,,,,,,,,,,,,
219320_at,,,,,,,,,2.0,2.0,2.0,,,,,,
207098_s_at,,,,,,,,,2.0,2.0,2.0,,,,,,
211801_x_at,,,,,,,,,2.0,2.0,2.0,,,,,,
217043_s_at,,,,,,,,,2.0,2.0,2.0,,,,,,
209444_at,,,,,,,,,1.0,1.0,1.0,,,,,,
217457_s_at,,,,,,,,,1.0,1.0,1.0,,,,,,
