,209962_at,209963_s_at,215054_at,216999_at,37986_at,396_f_at,205026_at,212549_at,212550_at,203010_at,207257_at,217254_s_at,205841_at,205842_s_at,209184_s_at,209185_s_at,202625_at,202626_s_at,210754_s_at
209962_at,,,,,,,,,,,,,,,,,,,
209963_s_at,,,,,,,,,,,,,,,,,,,
215054_at,,,,,,,,,,,,,,,,,,,
216999_at,,,,,,,,,,,,,,,,,,,
37986_at,,,,,,,,,,,,,,,,,,,
396_f_at,,,,,,,,,,,,,,,,,,,
205026_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
212549_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
212550_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
203010_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0
207257_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,
217254_s_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,
205841_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,2.0,2.0
205842_s_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,2.0,2.0
209184_s_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,,2.0,2.0,2.0
209185_s_at,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,,2.0,2.0,2.0
202625_at,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,
202626_s_at,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,
210754_s_at,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,
