,203920_at,212218_s_at,217006_x_at,219803_at,218215_s_at,202426_s_at,202449_s_at,200831_s_at,200832_s_at,211162_x_at,211708_s_at,209148_at,215098_at,215099_s_at,202599_s_at,202600_s_at,202308_at
203920_at,,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0
212218_s_at,,,,,,,,,,,,,,,,,
217006_x_at,,,,,,,,,,,,,,,,,
219803_at,,,,,,,,,,,,,,,,,
218215_s_at,,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,1.0
202426_s_at,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0
202449_s_at,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0
200831_s_at,,,,,,,,,,,,,,,,,
200832_s_at,,,,,,,,,,,,,,,,,
211162_x_at,,,,,,,,,,,,,,,,,
211708_s_at,,,,,,,,,,,,,,,,,
209148_at,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0
215098_at,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0
215099_s_at,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0
202599_s_at,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0
202600_s_at,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0
202308_at,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,
