,208344_x_at,208375_at,219211_at,208259_x_at,204785_x_at,204786_s_at,205867_at,205868_s_at,209895_at,209896_s_at,212610_at,206687_s_at,211405_x_at,207964_x_at,211145_x_at,208182_x_at,201648_at,206359_at,206360_s_at,214105_at,205546_s_at,205170_at,217199_s_at,209999_x_at,210000_s_at,210001_s_at,213337_s_at,208448_x_at,202716_at,217686_at,217689_at,204191_at,200887_s_at,209969_s_at,AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,208548_at,214569_at,207932_at,211338_at,208261_x_at,208173_at
208344_x_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
208375_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
219211_at,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
208259_x_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
204785_x_at,2.0,2.0,2.0,2.0,,,,,,,,,2.0,2.0,2.0,2.0,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
204786_s_at,2.0,2.0,2.0,2.0,,,,,,,,,2.0,2.0,2.0,2.0,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
205867_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
205868_s_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
209895_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
209896_s_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
212610_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
206687_s_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211405_x_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
207964_x_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
211145_x_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
208182_x_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
201648_at,2.0,2.0,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
206359_at,2.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
206360_s_at,2.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
214105_at,2.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
205546_s_at,2.0,2.0,,2.0,1.0,1.0,,,,,,,2.0,2.0,2.0,2.0,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
205170_at,2.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
217199_s_at,2.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
209999_x_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
210000_s_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
210001_s_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
213337_s_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
208448_x_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
202716_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
217686_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
217689_at,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
