,200954_at,36994_at,212041_at,200078_s_at,218346_s_at,221523_s_at,221524_s_at,205473_at,214148_at,220589_s_at,220590_at,208678_at,201971_s_at,201972_at,215645_at,220160_s_at,204158_s_at,213587_s_at,208898_at,208899_x_at,214923_at,222258_s_at,206860_s_at,209672_s_at,211724_x_at,202299_s_at,202300_at,200096_s_at,201171_at,201172_x_at,214149_s_at,214150_x_at,214244_s_at,218505_at,219586_at,221981_s_at,218088_s_at,201527_at,201089_at,220587_s_at,208737_at,207707_s_at,221504_s_at,201628_s_at,203246_s_at,210373_at,214762_at,205223_at,217971_at,202872_at,202873_at,202874_s_at,201451_x_at,201452_at,201453_x_at,213404_s_at,213409_s_at,203289_s_at,210672_s_at,214273_x_at,221931_s_at,205540_s_at,218291_at,202288_at,215381_at,203900_at,215364_s_at
200954_at,,,2.0,2.0,,,,2.0,,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,,2.0,,,,2.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
36994_at,,,2.0,2.0,,,,2.0,,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,,2.0,,,,2.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
212041_at,,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,,2.0,,,,2.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
200078_s_at,,,,,,,,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,,2.0,,,,2.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
218346_s_at,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
221523_s_at,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,,,
221524_s_at,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,,,
205473_at,,,,,,,,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
214148_at,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,
220589_s_at,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,
